time,latitude,longitude,depth,magnitude,place,time_since_last_quake,is_large_magnitude,depth_label
2024-12-31 19:18:38.701,9.134,40.1818,10.0,4.8,"16 km N of Āwash, Ethiopia",0.0,0,Shallow
2024-12-31 18:37:27.710,9.7378,40.0018,10.0,4.3,"27 km S of Abomsa, Ethiopia",-0.02859943287037037,0,Shallow
2024-12-31 16:28:34.721,8.8779,39.9495,10.0,4.4,"4 km SE of Metahāra, Ethiopia",-0.0895021875,0,Shallow
2024-12-31 16:20:48.662,9.3999,40.0826,10.0,4.3,"46 km NNW of Āwash, Ethiopia",-0.005394201388888889,0,Shallow
2024-12-31 13:29:28.170,9.1482,40.0092,10.0,4.3,"25 km NW of Āwash, Ethiopia",-0.11898717592592593,0,Shallow
2024-12-31 11:29:23.161,9.5164,40.1306,10.0,4.2,"54 km SSE of Abomsa, Ethiopia",-0.08339130787037037,0,Shallow
2024-12-31 07:20:03.346,8.9474,39.9384,10.0,4.3,"5 km NNE of Metahāra, Ethiopia",-0.17314600694444446,0,Shallow
2024-12-31 05:44:31.948,9.1861,39.9108,10.0,4.5,"31 km N of Metahāra, Ethiopia",-0.066335625,0,Shallow
2024-12-31 01:38:41.630,9.2189,40.0424,10.07,4.5,"29 km NNW of Āwash, Ethiopia",-0.17072127314814814,0,Shallow
2024-12-30 23:30:59.745,9.0823,39.935,10.0,4.7,"20 km N of Metahāra, Ethiopia",-0.08867922453703704,0,Shallow
2024-12-30 22:13:21.609,9.8117,40.2677,10.0,4.8,"36 km ESE of Abomsa, Ethiopia",-0.053913611111111114,0,Shallow
2024-12-30 20:48:51.372,9.8159,40.3329,10.0,4.5,"42 km ESE of Abomsa, Ethiopia",-0.058683298611111115,0,Shallow
2024-12-30 20:33:10.883,9.1781,40.0113,10.0,4.6,"27 km NW of Āwash, Ethiopia",-0.010885289351851853,0,Shallow
2024-12-30 20:27:34.680,9.0192,40.1872,10.0,4.7,"4 km NNE of Āwash, Ethiopia",-0.0038912384259259256,0,Shallow
2024-12-30 14:26:52.836,8.6333,39.9575,10.0,4.6,"29 km S of Metahāra, Ethiopia",-0.25048430555555556,0,Shallow
2024-12-30 12:20:00.904,8.4312,39.8921,10.0,4.5,"46 km ENE of Sīrē, Ethiopia",-0.0881010648148148,0,Shallow
2024-12-30 08:30:46.127,8.6227,39.8402,10.0,4.4,"31 km SSW of Metahāra, Ethiopia",-0.15919880787037038,0,Shallow
2024-12-30 07:42:21.717,8.7404,40.188,10.0,4.5,"26 km S of Āwash, Ethiopia",-0.03361585648148148,0,Shallow
2024-12-30 06:51:31.439,9.0478,40.0586,10.0,4.6,"13 km WNW of Āwash, Ethiopia",-0.035304143518518516,0,Shallow
2024-12-30 05:11:58.059,9.0411,40.0925,10.0,4.4,"10 km NW of Āwash, Ethiopia",-0.06913634259259259,0,Shallow
2024-12-30 00:28:54.595,8.9596,40.3151,10.0,4.6,"16 km E of Āwash, Ethiopia",-0.19656787037037038,0,Shallow
2024-12-29 23:16:52.655,8.3287,40.1746,10.0,4.4,"65 km SW of Gelemso, Ethiopia",-0.0500224537037037,0,Shallow
2024-12-29 22:20:41.541,9.3016,40.0929,10.0,5.1,"36 km NNW of Āwash, Ethiopia",-0.03901752314814815,1,Shallow
2024-12-29 17:21:31.196,9.1378,40.0074,10.0,4.3,"24 km NW of Āwash, Ethiopia",-0.2077586226851852,0,Shallow
2024-12-29 17:10:44.665,9.1111,40.1732,10.0,4.9,"14 km N of Āwash, Ethiopia",-0.0074829976851851845,0,Shallow
2024-12-29 16:21:35.798,9.0668,40.1933,10.0,4.4,"9 km NNE of Āwash, Ethiopia",-0.034130405092592596,0,Shallow
2024-12-29 07:19:13.852,9.2182,40.0833,10.0,4.4,"27 km NNW of Āwash, Ethiopia",-0.37664289351851854,0,Shallow
2024-12-29 03:57:24.642,9.2656,40.0594,10.0,4.8,"33 km NNW of Āwash, Ethiopia",-0.1401528935185185,0,Shallow
2024-12-28 17:51:04.052,9.3117,40.0753,10.0,4.3,"37 km NNW of Āwash, Ethiopia",-0.4210716435185185,0,Shallow
2024-12-28 17:30:10.338,9.1341,39.9851,10.0,4.3,"26 km NW of Āwash, Ethiopia",-0.014510578703703703,0,Shallow
2024-12-28 07:43:17.995,9.7506,40.0356,10.0,4.5,"26 km SSE of Abomsa, Ethiopia",-0.4075502662037037,0,Shallow
2024-12-28 05:12:12.727,9.2758,40.0229,10.0,4.6,"36 km NNW of Āwash, Ethiopia",-0.10492208333333333,0,Shallow
2024-12-28 01:32:58.794,9.7973,39.875,10.0,4.4,"13 km ESE of Debre Sīna, Ethiopia",-0.1522445949074074,0,Shallow
2024-12-27 17:18:09.878,9.0786,39.8964,10.0,4.4,"19 km N of Metahāra, Ethiopia",-0.34362171296296296,0,Shallow
2024-12-27 15:26:27.310,9.2393,40.0006,10.0,4.7,"33 km NNW of Āwash, Ethiopia",-0.07757601851851852,0,Shallow
2024-12-27 04:46:06.754,9.4345,40.0472,10.0,4.4,"51 km NNW of Āwash, Ethiopia",-0.4446823611111111,0,Shallow
2024-12-27 02:00:50.598,9.165,39.9443,10.0,4.9,"29 km N of Metahāra, Ethiopia",-0.11477032407407409,0,Shallow
2024-12-26 16:28:59.217,9.0593,39.9837,10.0,4.5,"19 km NNE of Metahāra, Ethiopia",-0.3971224652777778,0,Shallow
2024-12-24 12:05:15.572,8.9435,40.1637,10.0,4.5,"4 km S of Āwash, Ethiopia",-2.1831440393518515,0,Shallow
2024-12-24 09:45:49.120,8.8402,40.0744,10.0,4.5,"18 km ESE of Metahāra, Ethiopia",-0.09683393518518518,0,Shallow
2024-12-23 19:41:25.327,9.0015,39.9808,10.0,4.9,"13 km NNE of Metahāra, Ethiopia",-0.5863864930555556,0,Shallow
2024-12-23 01:13:53.775,8.9675,40.1189,10.154,4.6,"5 km WSW of Āwash, Ethiopia",-0.7691151851851852,0,Shallow
2024-12-23 00:11:13.150,8.256,39.9879,10.0,4.3,"55 km E of Sīrē, Ethiopia",-0.043525752314814814,0,Shallow
2024-11-02 21:04:13.578,9.2356,40.1179,10.0,4.7,"28 km N of Āwash, Ethiopia",-50.1298561574074,0,Shallow
2024-11-01 21:13:22.300,9.2572,40.1009,10.0,4.6,"31 km NNW of Āwash, Ethiopia",-0.993649050925926,0,Shallow
2024-11-01 18:55:29.383,8.9786,40.1166,10.0,4.6,"5 km W of Āwash, Ethiopia",-0.09575135416666666,0,Shallow
2024-10-26 12:22:02.706,9.0897,39.9217,10.0,4.8,"20 km N of Metahāra, Ethiopia",-6.273225428240741,0,Shallow
2024-10-26 12:21:38.972,9.1078,39.8591,10.0,4.7,"23 km NNW of Metahāra, Ethiopia",-0.00027469907407407407,0,Shallow
2024-10-26 12:13:57.837,9.2047,40.0642,10.0,4.4,"26 km NNW of Āwash, Ethiopia",-0.005337210648148148,0,Shallow
2024-10-21 10:11:42.797,12.1849,45.9255,10.0,4.6,"116 km SE of Aden, Yemen",-5.0848962962962965,0,Shallow
2024-10-17 09:10:07.969,9.0536,40.0971,10.0,4.5,"10 km NW of Āwash, Ethiopia",-4.042764212962963,0,Shallow
2024-10-16 20:11:28.237,9.148,40.1287,10.0,4.6,"18 km NNW of Āwash, Ethiopia",-0.5407376388888889,0,Shallow
2024-10-13 04:37:52.026,9.0816,39.9608,10.0,4.6,"20 km NNE of Metahāra, Ethiopia",-3.648335775462963,0,Shallow
2024-10-07 18:20:00.591,9.1173,40.1096,10.0,4.2,"16 km NNW of Āwash, Ethiopia",-5.429067534722222,0,Shallow
2024-10-06 17:10:04.271,9.2414,40.1774,10.0,5.2,"28 km N of Āwash, Ethiopia",-1.0485685185185185,1,Shallow
2024-10-04 20:58:01.797,12.5459,47.2294,10.0,4.3,"186 km NW of Las Khorey, Somalia",-1.8416953009259258,0,Shallow
2024-10-04 02:11:20.023,8.7348,40.0439,10.0,4.3,"23 km SE of Metahāra, Ethiopia",-0.7824279398148148,0,Shallow
2024-09-30 02:44:33.489,9.1058,40.0807,10.0,4.5,"16 km NW of Āwash, Ethiopia",-3.9769274768518517,0,Shallow
2024-09-27 23:47:54.748,9.0388,40.0402,10.266,4.5,"15 km WNW of Āwash, Ethiopia",-2.122670613425926,0,Shallow
2024-09-27 23:45:24.450,8.8155,40.077,8.867,4.5,"19 km ESE of Metahāra, Ethiopia",-0.0017395601851851851,0,Shallow
2024-09-27 12:20:05.360,8.9458,39.9599,10.0,4.5,"6 km NE of Metahāra, Ethiopia",-0.47591539351851847,0,Shallow
2024-09-27 04:36:19.941,8.8728,39.9797,10.0,4.9,"7 km ESE of Metahāra, Ethiopia",-0.32205346064814816,0,Shallow
2024-07-06 16:36:56.367,11.6691,39.6808,9.611,4.4,"38 km S of Robīt, Ethiopia",-82.49957840277777,0,Shallow
2024-05-12 21:36:09.854,5.2858,36.7419,10.0,4.9,"41 km SSE of Jinka, Ethiopia",-54.792205011574076,0,Shallow
2024-03-16 07:09:30.198,14.0351,41.1815,9.852,4.5,"56 km WNW of Edd, Eritrea",-57.60184787037038,0,Shallow
2024-03-14 09:50:33.579,14.0645,41.1232,10.0,4.6,"63 km WNW of Edd, Eritrea",-1.8881553125000001,0,Shallow
2024-03-01 08:09:45.939,12.5345,47.4751,10.0,4.8,"171 km NNW of Las Khorey, Somalia",-13.069995833333332,0,Shallow
