time,latitude,longitude,depth,magnitude,place
1735672718701,9.134,40.1818,10.0,4.8,"16 km N of Āwash, Ethiopia"
1735670247710,9.7378,40.0018,10.0,4.3,"27 km S of Abomsa, Ethiopia"
1735662514721,8.8779,39.9495,10.0,4.4,"4 km SE of Metahāra, Ethiopia"
1735662048662,9.3999,40.0826,10.0,4.3,"46 km NNW of Āwash, Ethiopia"
1735651768170,9.1482,40.0092,10.0,4.3,"25 km NW of Āwash, Ethiopia"
1735644563161,9.5164,40.1306,10.0,4.2,"54 km SSE of Abomsa, Ethiopia"
1735629603346,8.9474,39.9384,10.0,4.3,"5 km NNE of Metahāra, Ethiopia"
1735623871948,9.1861,39.9108,10.0,4.5,"31 km N of Metahāra, Ethiopia"
1735609121630,9.2189,40.0424,10.07,4.5,"29 km NNW of Āwash, Ethiopia"
1735601459745,9.0823,39.935,10.0,4.7,"20 km N of Metahāra, Ethiopia"
1735596801609,9.8117,40.2677,10.0,4.8,"36 km ESE of Abomsa, Ethiopia"
1735591731372,9.8159,40.3329,10.0,4.5,"42 km ESE of Abomsa, Ethiopia"
1735590790883,9.1781,40.0113,10.0,4.6,"27 km NW of Āwash, Ethiopia"
1735590454680,9.0192,40.1872,10.0,4.7,"4 km NNE of Āwash, Ethiopia"
1735568812836,8.6333,39.9575,10.0,4.6,"29 km S of Metahāra, Ethiopia"
1735561200904,8.4312,39.8921,10.0,4.5,"46 km ENE of Sīrē, Ethiopia"
1735547446127,8.6227,39.8402,10.0,4.4,"31 km SSW of Metahāra, Ethiopia"
1735544541717,8.7404,40.188,10.0,4.5,"26 km S of Āwash, Ethiopia"
1735541491439,9.0478,40.0586,10.0,4.6,"13 km WNW of Āwash, Ethiopia"
1735535518059,9.0411,40.0925,10.0,4.4,"10 km NW of Āwash, Ethiopia"
1735518534595,8.9596,40.3151,10.0,4.6,"16 km E of Āwash, Ethiopia"
1735514212655,8.3287,40.1746,10.0,4.4,"65 km SW of Gelemso, Ethiopia"
1735510841541,9.3016,40.0929,10.0,5.1,"36 km NNW of Āwash, Ethiopia"
1735492891196,9.1378,40.0074,10.0,4.3,"24 km NW of Āwash, Ethiopia"
1735492244665,9.1111,40.1732,10.0,4.9,"14 km N of Āwash, Ethiopia"
1735489295798,9.0668,40.1933,10.0,4.4,"9 km NNE of Āwash, Ethiopia"
1735456753852,9.2182,40.0833,10.0,4.4,"27 km NNW of Āwash, Ethiopia"
1735444644642,9.2656,40.0594,10.0,4.8,"33 km NNW of Āwash, Ethiopia"
1735408264052,9.3117,40.0753,10.0,4.3,"37 km NNW of Āwash, Ethiopia"
1735407010338,9.1341,39.9851,10.0,4.3,"26 km NW of Āwash, Ethiopia"
1735371797995,9.7506,40.0356,10.0,4.5,"26 km SSE of Abomsa, Ethiopia"
1735362732727,9.2758,40.0229,10.0,4.6,"36 km NNW of Āwash, Ethiopia"
1735349578794,9.7973,39.875,10.0,4.4,"13 km ESE of Debre Sīna, Ethiopia"
1735319889878,9.0786,39.8964,10.0,4.4,"19 km N of Metahāra, Ethiopia"
1735313187310,9.2393,40.0006,10.0,4.7,"33 km NNW of Āwash, Ethiopia"
1735274766754,9.4345,40.0472,10.0,4.4,"51 km NNW of Āwash, Ethiopia"
1735264850598,9.165,39.9443,10.0,4.9,"29 km N of Metahāra, Ethiopia"
1735230539217,9.0593,39.9837,10.0,4.5,"19 km NNE of Metahāra, Ethiopia"
1735041915572,8.9435,40.1637,10.0,4.5,"4 km S of Āwash, Ethiopia"
1735033549120,8.8402,40.0744,10.0,4.5,"18 km ESE of Metahāra, Ethiopia"
1734982885327,9.0015,39.9808,10.0,4.9,"13 km NNE of Metahāra, Ethiopia"
1734916433775,8.9675,40.1189,10.154,4.6,"5 km WSW of Āwash, Ethiopia"
1734912673150,8.256,39.9879,10.0,4.3,"55 km E of Sīrē, Ethiopia"
1730581453578,9.2356,40.1179,10.0,4.7,"28 km N of Āwash, Ethiopia"
1730495602300,9.2572,40.1009,10.0,4.6,"31 km NNW of Āwash, Ethiopia"
1730487329383,8.9786,40.1166,10.0,4.6,"5 km W of Āwash, Ethiopia"
1729945322706,9.0897,39.9217,10.0,4.8,"20 km N of Metahāra, Ethiopia"
1729945298972,9.1078,39.8591,10.0,4.7,"23 km NNW of Metahāra, Ethiopia"
1729944837837,9.2047,40.0642,10.0,4.4,"26 km NNW of Āwash, Ethiopia"
1729505502797,12.1849,45.9255,10.0,4.6,"116 km SE of Aden, Yemen"
1729156207969,9.0536,40.0971,10.0,4.5,"10 km NW of Āwash, Ethiopia"
1729109488237,9.148,40.1287,10.0,4.6,"18 km NNW of Āwash, Ethiopia"
1728794272026,9.0816,39.9608,10.0,4.6,"20 km NNE of Metahāra, Ethiopia"
1728325200591,9.1173,40.1096,10.0,4.2,"16 km NNW of Āwash, Ethiopia"
1728234604271,9.2414,40.1774,10.0,5.2,"28 km N of Āwash, Ethiopia"
1728075481797,12.5459,47.2294,10.0,4.3,"186 km NW of Las Khorey, Somalia"
1728007880023,8.7348,40.0439,10.0,4.3,"23 km SE of Metahāra, Ethiopia"
1727664273489,9.1058,40.0807,10.0,4.5,"16 km NW of Āwash, Ethiopia"
1727480874748,9.0388,40.0402,10.266,4.5,"15 km WNW of Āwash, Ethiopia"
1727480724450,8.8155,40.077,8.867,4.5,"19 km ESE of Metahāra, Ethiopia"
1727439605360,8.9458,39.9599,10.0,4.5,"6 km NE of Metahāra, Ethiopia"
1727411779941,8.8728,39.9797,10.0,4.9,"7 km ESE of Metahāra, Ethiopia"
1720283816367,11.6691,39.6808,9.611,4.4,"38 km S of Robīt, Ethiopia"
1715549769854,5.2858,36.7419,10.0,4.9,"41 km SSE of Jinka, Ethiopia"
1710572970198,14.0351,41.1815,9.852,4.5,"56 km WNW of Edd, Eritrea"
1710409833579,14.0645,41.1232,10.0,4.6,"63 km WNW of Edd, Eritrea"
1709280585939,12.5345,47.4751,10.0,4.8,"171 km NNW of Las Khorey, Somalia"
1707585201594,11.7795,43.1953,10.25,4.3,"21 km NNE of Djibouti, Djibouti"
1707263229313,11.5896,43.2868,10.0,3.9,"14 km NNE of Loyada, Djibouti"
1707243885956,11.6183,43.3534,10.0,4.4,"20 km NNE of Loyada, Djibouti"
1706995566228,11.6411,43.3714,10.0,4.4,"23 km NNE of Loyada, Djibouti"
1706982341919,11.5815,43.2833,10.0,4.2,"13 km NNE of Loyada, Djibouti"
1706975031863,12.1074,46.3247,10.0,4.2,"152 km SE of Zinjibār, Yemen"
1706202043411,11.7346,43.3724,10.0,5.4,"27 km SSE of Obock, Djibouti"
1702813766931,12.3697,47.4871,10.0,4.9,"154 km NNW of Las Khorey, Somalia"
1702156346701,12.3137,47.4362,10.0,4.2,"152 km NNW of Las Khorey, Somalia"
1702156281360,12.8231,47.2505,10.0,4.1,"174 km SSE of Khimār, Yemen"
1702003673506,12.3568,47.2353,10.0,4.2,"168 km NW of Las Khorey, Somalia"
1701981798640,12.331,47.4673,10.0,4.6,"152 km NNW of Las Khorey, Somalia"
1701960542224,12.2214,47.4657,10.0,5.1,"141 km NW of Las Khorey, Somalia"
1701873560118,12.3087,47.4891,10.0,4.2,"148 km NNW of Las Khorey, Somalia"
1701866921265,12.3695,47.2617,10.0,4.1,"168 km NW of Las Khorey, Somalia"
1701866099965,12.3645,47.4911,10.0,4.5,"153 km NNW of Las Khorey, Somalia"
1701857424457,12.4332,47.4346,10.0,4.5,"163 km NNW of Las Khorey, Somalia"
1701855809098,12.3797,47.463,10.0,4.4,"156 km NNW of Las Khorey, Somalia"
1701854884583,12.4974,47.3634,10.0,4.5,"173 km NNW of Las Khorey, Somalia"
1701850829482,12.298,47.5054,10.0,4.5,"146 km NNW of Las Khorey, Somalia"
1701844775489,12.0461,47.5582,10.0,4.3,"120 km NW of Las Khorey, Somalia"
1701842506537,12.2697,47.3635,10.0,4.3,"152 km NW of Las Khorey, Somalia"
1701840332749,12.4425,47.4342,10.0,4.0,"164 km NNW of Las Khorey, Somalia"
1701838303777,12.3559,47.4467,10.0,4.3,"155 km NNW of Las Khorey, Somalia"
1701837124484,12.1077,47.6237,10.0,4.0,"122 km NNW of Las Khorey, Somalia"
1701836693263,12.4007,47.4127,10.0,4.3,"161 km NNW of Las Khorey, Somalia"
1701836543381,12.4016,47.354,10.0,4.1,"165 km NW of Las Khorey, Somalia"
1701836280512,12.3744,47.4037,10.0,4.4,"159 km NNW of Las Khorey, Somalia"
1701833434763,12.5155,47.2894,10.0,4.3,"179 km NNW of Las Khorey, Somalia"
1701831740996,12.3997,47.4588,10.0,4.0,"159 km NNW of Las Khorey, Somalia"
1701831241073,12.3721,47.5348,10.0,4.1,"152 km NNW of Las Khorey, Somalia"
1701826143423,12.6017,46.9089,10.0,4.2,"175 km ESE of Zinjibār, Yemen"
1701816680712,12.2527,47.448,10.0,4.9,"145 km NW of Las Khorey, Somalia"
1701814494538,12.3713,47.3961,10.0,4.1,"159 km NNW of Las Khorey, Somalia"
1701814242184,12.1988,47.4465,10.0,4.4,"141 km NW of Las Khorey, Somalia"
1701807593740,12.3408,47.4887,10.0,5.4,"151 km NNW of Las Khorey, Somalia"
1701805261729,12.2388,47.3307,10.0,4.2,"152 km NW of Las Khorey, Somalia"
1701802765474,12.1735,47.4035,10.0,4.3,"141 km NW of Las Khorey, Somalia"
1701801598021,12.6777,47.3319,10.0,4.1,"192 km NNW of Las Khorey, Somalia"
1701800207248,12.4318,47.1509,10.0,4.3,"181 km NW of Las Khorey, Somalia"
1701799832768,12.0462,47.3761,10.0,4.5,"132 km NW of Las Khorey, Somalia"
1701796684195,12.1648,47.3993,10.0,4.4,"141 km NW of Las Khorey, Somalia"
1701778888686,12.2394,47.5434,10.0,4.5,"139 km NNW of Las Khorey, Somalia"
1701776660577,12.4211,47.4796,10.0,4.8,"159 km NNW of Las Khorey, Somalia"
1701772871983,12.4036,47.4369,10.0,4.6,"160 km NNW of Las Khorey, Somalia"
1701761493611,12.3004,47.4452,9.0,5.6,"150 km NNW of Las Khorey, Somalia"
1701756145631,12.2103,47.1996,10.0,4.5,"159 km NW of Las Khorey, Somalia"
1701747059878,12.2881,47.3087,10.0,4.4,"157 km NW of Las Khorey, Somalia"
1701746554767,12.2421,47.3338,10.0,4.3,"152 km NW of Las Khorey, Somalia"
1701746419593,12.2791,47.342,10.0,4.2,"154 km NW of Las Khorey, Somalia"
1701745684746,12.4057,47.3142,10.0,4.2,"168 km NW of Las Khorey, Somalia"
1701745501880,12.2476,47.2973,10.0,4.4,"155 km NW of Las Khorey, Somalia"
1701745356258,12.1682,47.3924,10.0,4.2,"141 km NW of Las Khorey, Somalia"
1701743784756,12.3665,47.2776,10.0,4.2,"166 km NW of Las Khorey, Somalia"
1701743533174,12.2385,47.2868,10.0,4.2,"155 km NW of Las Khorey, Somalia"
1701743308523,12.2766,47.2741,10.0,4.0,"159 km NW of Las Khorey, Somalia"
1699684010471,5.164,36.8056,10.0,4.9,"41 km ENE of Turmi, Ethiopia"
1699666809789,5.2631,36.844,10.0,4.5,"47 km SSE of Jinka, Ethiopia"
1698894307654,11.9705,47.3672,10.0,4.4,"127 km NW of Las Khorey, Somalia"
1698274263949,11.7874,43.0741,11.57,4.4,"20 km E of Tadjourah, Djibouti"
1697693447138,14.6162,40.6242,10.0,4.5,"130 km ENE of Ādīgrat, Ethiopia"
1696739864382,8.9936,39.8814,10.0,4.4,"11 km NNW of Metahāra, Ethiopia"
1695947127623,11.7873,43.1156,10.0,4.4,"22 km N of Djibouti, Djibouti"
1695880392444,11.6384,43.23,10.839,4.6,"10 km ENE of Djibouti, Djibouti"
1695864125506,11.7134,43.1605,10.727,4.6,"13 km N of Djibouti, Djibouti"
1689202262864,12.5646,47.899,10.0,4.3,"158 km NNW of Las Khorey, Somalia"
1688597529686,14.5505,39.9141,10.0,4.3,Eritrea-Ethiopia border region
1688327934428,14.5513,39.7597,10.0,4.2,"44 km NE of Ādīgrat, Ethiopia"
1688316678011,14.6374,40.011,10.0,4.2,"71 km NE of Ādīgrat, Ethiopia"
1688292714090,14.6721,40.0081,10.0,4.0,"70 km ESE of Adi Keyh, Eritrea"
1688282220772,14.6607,39.9127,10.0,4.3,"61 km ESE of Adi Keyh, Eritrea"
1686843613135,12.8066,47.9474,10.0,4.9,"184 km N of Las Khorey, Somalia"
1686808493040,12.4594,47.9566,10.0,4.5,"146 km N of Las Khorey, Somalia"
1685929435410,12.6288,47.9576,10.0,4.6,"164 km N of Las Khorey, Somalia"
1685852087646,14.5343,39.8828,10.0,4.7,"53 km ENE of Ādīgrat, Ethiopia"
1685787355032,12.4621,47.9835,10.0,5.6,"145 km N of Las Khorey, Somalia"
1685785415100,12.7078,47.9368,10.0,4.6,"173 km N of Las Khorey, Somalia"
1685782563580,12.558,47.9369,10.0,4.5,"157 km N of Las Khorey, Somalia"
1684500327327,5.4953,36.106,10.0,4.3,"60 km WSW of Bako, Ethiopia"
1683857315071,11.6893,45.3895,10.0,4.4,"126 km SSE of Aden, Yemen"
1683545788384,11.696,35.9852,10.166,4.4,Ethiopia
1683427879945,10.0216,40.9514,10.0,4.3,"37 km ESE of Gewanē, Ethiopia"
1681511869290,14.6335,40.7493,10.0,4.6,"128 km NW of Edd, Eritrea"
1674738339651,11.6466,43.9274,10.0,4.8,"76 km ENE of Loyada, Djibouti"
